NAME,PRIORNAME1,FED_RSS_ID,UNINUM,WEBADDR,ZIP,CHARTER_NUMBER
Bank of Prairie du Sac,,997847,9166,WWW.BANKPDS.COM,53578,
TrustBank,Olney Trust and Banking Company,338646,9168,https://trustbank.net,62450,
The First National Bank in Amboy,,656032,9176,www.fnbamboy.com,61310,
Industrial Bank,"Industrial Bank, National Association",536527,9180,www.industrial-bank.com,20011,
Bank of Crockett,,324854,965,www.bankofcrockett.com,38006,
Iowa Savings Bank,,190648,9186,http://www.iowasavingsbank.com,51401,
Peoples Bank,Peoples Trust & Savings Bank,968249,9188,www.mypeoples.bank,50325,
Cedar Valley Bank & Trust,Mt. Auburn Savings Bank,1014246,9190,www.cedarvalleybank.com,50651,
MA Bank,Macon-Atlanta State Bank,34555,9191,www.mabank.com,63552,
Century Bank and Trust,The Merchants and Farmers Bank of Milledgeville,944337,114,www.century.bank,31061,
Bank of New Madrid,,688556,9196,www.bankofnewmadrid.com,63869,
DeWitt Bank & Trust Co.,De Witt Bank & Trust Co.,668147,9199,WWW.DEWITTBANK.COM,52742,
First National Bank,First National Bank in Pierre,355858,9203,www.firstnationalbanks.com,57532,
Union Bank,,390840,9210,www.ubmich.com,49546,
Frontier Bank,First National Bank in Lamar,191355,9213,http://www.frontierbankco.com,81052,
The Citizens National Bank of Quitman,,774235,9214,www.cnbquitman.com,31643,
"First Community Bank of the Heartland, Inc.",First National Bank in Clinton,837149,9216,www.fcbheartland.com,42031,
"Williamstown Bank, Inc.",The Farmers & Mechanics National Bank of Williamstown,918132,9222,www.williamstownbank.com,26187,
Peoples Bank & Trust Company,,28732,971,www.bankwithpeoples.com,37355,
1NB Bank,The First National Bank in Carlyle,614948,9231,https://www.1nbcarlyle.com,62231,
DMB Community Bank,De Forest-Morrisonville Bank,56548,9237,www.deforestbank.com,53718,
Danville State Savings Bank,,223845,9239,http://www.danvillebank.com,52645,
State Savings Bank,,792640,9240,www.statesavings.bank,50833,
Citizens National Bank at Brownwood,,233358,9244,www.cnb-brownwood.com,76801,
Citizens Savings Bank,,474544,9248,www.citizenssavingsbank.com,50158,
Bank of Madison,,752831,115,www.bankofmadisonga.com,30650,
First State Bank & Trust,First National Bank & Trust Co. of Williston,248455,9260,www.fsbtnd.bank,58801,
Farmers Savings Bank,The Farmers Savings Bank,774347,9264,WWW.FARMERSSAVINGSBANK.COM,52035,
Heartland Bank,Somers Savings Bank,604547,9266,www.heartlandbanks.bank,50586,
TS Bank,Treynor State Bank,552545,9269,www.tsbank.com,51575,
The Citizens National Bank of Hammond,,855303,9276,,13646,
First National Bank in New Bremen,,204826,9285,www.firstnbank.bank,45869,
Bank of Frankewing,,166531,979,www.bankoffrankewing.com,38459,
MidWestOne Bank,MidWestOneBank,836843,9290,www.midwestone.bank,52240,
Citizens Bank,,778738,9296,www.citizensbank24.com,37643,
The First National Bank at St. James,,794653,9298,www.fnbstjames.com,56081,
State Street Bank and Trust Company,,352745,9300,www.statestreetbank.com,62301,
LINKBANK,The Gratz National Bank,557317,9303,www.linkbank.com,17011,
Stockmens National Bank in Cotulla,,818652,9304,https://snbcotulla.com,78014,
Home State Bank,,653947,9306,www.hsbankiowa.com,50129,
Peoples Savings Bank,Peoples Savings Bank of Wellsburg,136048,9307,www.bankpsb.com,50680,
First Farmers and Merchants Bank,Farmers & Merchants Bank,150035,982,www.myfirstfarmers.com,38401,
Community State Bank,,502746,9319,www.csbbankonline.bank,46710,
First Bank,The First National Bank of Ketchikan,451068,9320,WWW.FIRSTBANKAK.COM,99901,
The Farmers Bank,,485214,9326,www.MyFarmersBank.net,40356,
Blue Sky Bank,National Bank of Commerce in Pawhuska,517357,9330,www.bluesky.bank,74056,
Bank of Hazlehurst,,628039,116,https://www.bankofhazlehurst.com,31539,
First Community Bank,The First National Bank of Newell,233246,9333,http://www.fcb4u.com,50568,
The International Bank of Amherst,,504647,9334,www.ibamherst.com,54406,
Shell Lake State Bank,,896155,9338,www.shelllakestatebank.com,54871,
Bank of Dixon County,Bank of Dixon County of Ponca,920359,9339,www.bankofdc.com,68770,
Collins State Bank,,219044,9341,www.collinsstatebank.com,54207,
The Hamler State Bank,,887827,9346,WWW.HAMLERSTATEBANK.COM,43524,
F&M Bank,The Farmers & Merchants National Bank of West Point,542153,9348,www.fmbankne.bank,68788,
West Shore Bank,State Savings Bank of Scottville,832546,9351,www.westshorebank.com,49431,
First Iowa State Bank,,787842,9352,www.1stiowa.bank,52531,
The Lyon County State Bank,,796657,9366,www.mylcsb.com,66801,
State Bank of Reeseville,,159645,9371,www.statebankofreeseville.com,53579,
The Security National Bank of Enid,,119153,9374,WWW.SNBENID.COM,73701,
Kish Bank,The Kishacoquillas Valley National Bank of Belleville,600419,9377,www.mykish.com,17004,
Security State Bank,,839068,990,www.securitystbk.com,78061,
First State Bank and Trust,The First State Bank of Tonganoxie,605656,9381,www.firststateks.com,66086,
Union State Bank,,148340,9387,www.usbiowa.com,50273,
The Farmers State Bank,"The Farmers State Bank, of New Madison, Ohio",370721,9394,WWW.MYFSB.BANK,45346,
River Bank,Bank of Stoddard,279842,9398,https://www.riverbank.biz,54658,
The Port Austin State Bank,,779641,9401,www.portaustinbank.com,48467,
Columbus Bank and Trust Company,Columbus Bank,241559,9410,https://www.colbank.com,68601,
First Bank,Bank of Montgomery,216922,9417,www.localfirstbank.com,28387,
First State Bank,First State Bank of East Detroit,113740,9426,www.fsb.bank,48021,
Riverwind Bank,The Bank of Augusta,855143,9429,riverwindbank.com,72006,
The Valley State Bank,,1005552,9432,www.valleystatebank.com,67013,
The Peoples Community Bank,"The Peoples State Bank, Mazomanie, Wis.",420644,9435,www.thepcb.bank,53560,
First State Bank,,10849,9437,https://www.firststatebk.com,72086,
Louisiana National Bank,First National Bank in Arcadia,109659,9445,www.ln.bank,71270,
Junction National Bank,,741152,9456,www.junctionnational.com,76849,
Arthur State Bank,,591320,9463,www.arthurstatebank.com,29379,
Lake Ridge Bank,State Bank of Cross Plains,525549,9468,www.lakeridge.bank,53562,
Richland County Bank,,331544,9469,www.richlandcountybank.com,53581,
Union State Bank,The Union State Bank of Cleburne,866251,9475,,66520,
Senath State Bank,,203052,9478,www.senathstatebank.com,63876,
Bank of York,,922924,9480,www.bankofyork.com,29745,
Zavala County Bank,Zavalla County Bank,969956,9481,www:zcbank.com,78839,
The Citizens State Bank,,858854,9486,www.bankcsb.bank,66852,
Bank of Greeleyville,Greeleyville Cash Depository,465524,9487,http://www.bog1.com,29056,
Gateway First Bank,Farmers Exchange Bank,3851427,9492,www.gatewayfirst.com,74037,
Citizens State Bank of La Crosse,Citizens State Bank of Clayton,447557,997,www.citizensstatebank.us,54601,
Bank of Wisconsin Dells,Farmers and Merchants State Bank,894348,9508,www.dellsbank.bank,53965,
Great North Bank,State Bank of Florence,576354,9516,www.greatnorthbank.com,54121,
Black River Country Bank,Bank of Melrose,603540,9522,www.brcbank.com,54615,
The Farmers State Bank of Westmoreland,,615851,9531,bankwithfarmers.com,66549,
Peoples State Bank of Munising,,262956,9532,www.psbup.com,49862,
KCB Bank,The Kearny County Bank,5751,9557,www.kcbks.bank,67860,
Decorah Bank & Trust Company,Security Trust & Savings Bank,872047,9560,www.decorah.bank,52101,
Bank3,The Farmers Bank,502652,9565,www.bank3.com,38119,
First State Bank,Farmers & Merchants State Bank,264455,9566,www.bankfsb.com,75751,
The First Central National Bank of St. Paris,,538222,9570,www.firststparis.com,43072,
Peoples Bank,The Peoples Bank of Lyons,715032,9572,www.ourpeoplesbank.com,30436,
The Bank of Kaukauna,,380944,9582,WWW.BANKOFKAUKAUNA.COM,54130,
First Business Bank,Kingston-Dalton State Bank,537449,9583,http://www.firstbusiness.bank,53719,
Johnson State Bank,The Johnson State Bank,235950,9591,www.johnsonstatebank.com,67855,
Northern State Bank,,625757,9594,http://www.nsbashland.com,54806,
Putnam County Bank,,417626,9595,www.pcbwv.bank,25526,
United Citizens Bank & Trust Company,,336147,9599,www.unitedcitizensbank.com,40011,
The Citizens State Bank and Trust Company,The Citizen's State Bank,442057,9602,extramilebank.com,66846,
Greenfield Banking Company,,83955,9603,www.greenfieldbank.com,38230,
The Farmers State Bank,,863652,9605,www.fsbks.bank,66436,
Elk State Bank,The Elk State Bank,679451,9606,www.elkstatebank.com,66938,
The Citizens State Bank,,937759,9608,www.csbks.com,67951,
Peoples Savings Bank of Rhineland,,242257,9611,www.ourpsb.com,65069,
Diamond Bank,Pike County Bank,27847,1007,www.diamond.bank,71958,
Merit Bank,The Citizens Bank of Valley Head,290838,9615,https://www.meritbank.com,35805,
First State Bank,"The First State Bank of New London, Wis.",801047,9616,www.bankfirststate.com,54961,
Marion County State Bank,,97943,9617,www.marioncountybank.com,50219,
Southern Bancorp Bank,Elk Horn Bank and Trust Company,852544,1008,www.banksouthern.com,71923,
Heritage Community Bank,United Bank of Chamois,499743,9627,WWW.HCBANKS.COM,63084,
Northern State Bank of Thief River Falls,,188056,9630,www.nsbtrf.com,56701,
The Denison State Bank,,869551,9646,http://www.dsbks.com,66436,
TruCommunity Bank,Garrison State Bank,808653,9647,www.trucommunity.bank,58540,
"CB&S Bank, Inc.",Citizens Bank & Savings Co.,594433,9650,www.cbsbank.com,35653,
Iowa Falls State Bank,,989141,9651,www.ifsbank.com,50126,
First State Bank,,561145,9657,www.fsbwc.com,50595,
Silver Lake Bank,The Silver Lake State Bank,326054,9659,www.silverlakebank.com,66608,
Security Bank & Trust Company,Security State Bank of Glencoe,1001059,9660,www.security-banks.com,55336,
The Union Banking Company,,289225,9662,www.bankatubc.com,43358,
Rolling Hills Bank & Trust,Rolling Hills National Bank,882242,9667,http://www.rollinghillsbank.com,50022,
"Durden Banking Company, Incorporated",,101439,9669,www.durdenbc.com,30471,
TXN Bank,TXN Bank National Association,77253,9675,www.txn.bank,78861,
Commerce Bank Texas,Security State Bank,174367,9676,www.commercebanktx.com,78160,
Security Bank of Pulaski County,Waynesville Security Bank,382854,9677,www.sbpc.com,65584,
First Bank and Trust Company,First National Bank in Clinton,157856,9678,www.fbtok.com,73601,
Marion State Bank,,484057,9684,http://www.marionstatebanktx.com,78124,
Southern Bank and Trust Company,Bank of Mount Olive,717924,9687,www.southernbank.com,28365,
Bank of Stockton,Stockton Savings and Loan Bank,479268,1012,www.bankofstockton.com,95202,
Belt Valley Bank,,223751,9689,www.beltvalleybank.com,59412,
First State Bank,,861854,9691,http://www.fsbrandolph.bank,68771,
Farmers State Bank,,461058,9694,www.farmersstatebanktexas.com,76642,
RCB Bank,Rogers County Bank,945053,9716,www.rcbbank.bank,74017,
Houghton State Bank,,528241,9722,www.houghtonstatebank.com,51566,
"Peoples Bank of Wyaconda, Missouri",,223452,9731,http://www.pbwbank.com,63445,
American Bank of Freedom,Bank of Montgomery County,568359,9739,www.americanbankoffreedom.bank,63384,
Chelsea Savings Bank,,771748,9743,www.chelseasavingsbank.com,52208,
Robert Lee State Bank,,803265,9754,www.robertleestatebank.com,76945,
Lake Elmo Bank,State Bank of Lake Elmo,1015850,9755,www.lakeelmobank.com,55042,
American State Bank & Trust Company of Williston,American State Bank of Williston,244251,9756,www.asbt.com,58801,
"First National Bank, Ames, Iowa",The Ames Trust and Savings Bank,820048,1014,WWW.FNBAMES.COM,50010,
Spur Security Bank,,409265,9768,www.spur.bank,79370,
State Bank of De Kalb,,621357,9771,www.statebankofdekalb.com,75559,
United Southern Bank,Umatilla State Bank,327435,9773,www.unitedsouthernbank.com,32784,
The First State Bank of Ransom,,471057,9775,fsbransom.com,67572,
Iowa Trust and Savings Bank,,202541,1016,www.iowatrust.bank,52544,
First State Bank of Cando,The First State Bank of Cando,918655,9777,www.fsbcando.com,58324,
First United Bank,"First Bank Park River, National Association",1011955,9778,www.firstunitedonline.com,58270,
Citizens Bank of Americus,The Citizens Bank of Americus,19936,9782,www.cbkamericus.com,31709,
United Valley Bank,First State Bank of Cavalier,922559,9783,www.uvbank.net,58220,
Coleman County State Bank,Coleman Bank,761954,9785,www.colemanbank.com,76834,
West Plains Bank and Trust Company,West Plains Bank,317258,9792,www.westplainsbank.com,65775,
First State Bank of Blakely,,5135,9798,fsbanks.com,39823,
Bank of Alapaha,,986935,121,www.bankofalapaha.com,31622,
Central State Bank,The Central State Bank & Trust Company,678744,1019,www.centralstate.bank,52241,
"The Lytle State Bank of Lytle, Texas",,830252,9801,www.lytlestatebank.com,78052,
Ameristate Bank,The Atoka State Bank,508355,9809,www.ameristatebank.com,74525,
First State Bank,The First State Bank,435750,9810,http://www.firststate.bank,76240,
Citizens State Bank,,296755,9817,www.citizensstatebk.com,76861,
CBI Bank & Trust,Central State Bank,830542,1021,www.cbibt.com,52761,
Muenster State Bank,,765662,9820,http://www.muensterstate.bank,76252,
The Shelby County State Bank,Farmers Savings Bank,536349,1022,www.scsbnet.com,51537,
CentreBank,The Veedersburg State Bank,163343,9828,www.centrebank.net,47987,
First State Bank,First State Bank of Buxton,917050,9834,http://www.firststatebanks.com,58218,
Frontier Bank,The Bank of Madison,33857,9839,www.frontier.bank,68154,
Chillicothe State Bank,,504142,9840,www.gostatebank.com,64601,
Bank of Lake Village,,476445,9841,www.bankoflakevillage.com,71653,
Central Bank,The Commercial Trust & Savings Bank,546544,9849,www.mycentral.bank,50588,
Twin Cedars Bank,State Bank of Bussey,750444,1024,www.twincedars.bank,50044,
Pioneer Bank & Trust,Bank of Belle Fourche,65559,9854,www.pioneerbankandtrust.com,57717,
First Southern Bank,The Bank of Marion,382649,9857,www.firstsouthernbank.net,62959,
Hoosier Heartland State Bank,Linden State Bank,157744,9858,http://www.myhhsb.com,47933,
First National Bank of Pulaski,,972732,9862,www.fnbforyou.com,38478,
Integrity Bank Plus,Wabasso State Bank,897451,9866,www.integritybank.com,56293,
First Bank of Coastal Georgia,The Pembroke State Bank,823638,9868,www.firstbankofcg.com,31321,
Mid-Missouri Bank,Polk County Bank,950141,9871,www.midmobank.com,65804,
Bay Port State Bank,Bayport State Bank,961446,9872,https://www.bayportstatebank.com,48720,
Taylor County Bank,,831941,9876,WWW.TAYLORCOUNTYBANK.COM,42718,
Ipswich State Bank,,532453,9879,www.isbipswich.com,57451,
Security State Bank of Kenyon,,984454,9883,www.ssbkenyon.com,55946,
Horizon Financial Bank,The First State Bank of Munich,877350,9884,http://www.HorizonFinancialBank.com,58352,
The Hamilton Bank,,723550,9890,WWW.THEHAMILTONBANK.BANK,64644,
Farmers and Merchants State Bank,,145741,9893,http://www.fmstate.bank,50273,
West Bank,West Des Moines State Bank,139740,9896,WWW.WESTBANKSTRONG.COM,50266,
Peoples Bank,,519445,1027,www.pboflebanon.com,40033,
First Farmers & Merchants State Bank of Grand Meadow,First American State Bank of Grand Meadow,77150,9902,www.ffmbank.com,55936,
Quoin Financial Bank,The First State Bank of Highmore,592550,9909,www.quoinbank.com,57362,
Greenfield Banking Company,,592644,9911,www.gbcbank.com,46140,
State Bank & Trust Co.,,229342,9929,www.banksbt.com,50201,
Alliance Bank Central Texas,State Bank of Jewett,601658,9934,https://www.alliancebanktexas.com,76712,
The Peoples Bank,The Peoples Bank of Taylorsville,76443,1029,www.tpbtaylorsville.com,40071,
First State Bank,,924236,9939,www.firststatebnk.com,39367,
"Freedom Bank, Inc.",Belington Bank,629522,9940,www.freedombankwv.com,26250,
MCBank,Mills County State Bank,522753,9943,www.mc.bank,76844,
The Bank of Clarendon,,3720,9945,www.myboc.bank,29102,
Citizens Bank & Trust Company,,829041,9949,www.cbtky.com,42718,
Grant County State Bank,,933340,9957,www.grantcostatebank.com,46986,
Clear Lake Bank and Trust Company,,865544,9959,www.clearlakebank.bank,50428,
Pineland Bank,Alma Exchange Bank,6039,9967,www.pineland.bank,31510,
The Seymour Bank,,428855,9969,seymourbank.com,65746,
Town & Country Bank and Trust Company,Farmers Bank & Trust Co.,692946,9970,www.mytcbt.bank,40004,
"The Casey County Bank, Inc.",The Casey County Bank,646145,9974,www.caseybank.com,42539,
"Dakota Community Bank & Trust, National Association",Dakota Community Bank,815156,9987,www.dakotacommunitybank.com,58638,
Partners Bank,Helena National Bank,335346,9988,www.mypartners.bank,72342,
Security Bank of Texas,Security Bank of Whitesboro,435666,9990,www.secbank.net,76638,
Security Savings Bank,,811747,9991,www.bankwithssb.com,57013,
Commercial Bank of Mott,,1008553,9995,http://www.cbmott.com,58646,
The Security State Bank,,285553,10000,www.thesecuritystatebank.com,57332,
Flat Branch Bank,Ray County Bank,786256,10002,www.flatbranchbank.com,64085,
First State Bank,,887340,10003,WWW.FIRSTSTATEBANK.BIZ,61342,
Citizens National Bank of Albion,,853747,10008,www.cnbalbion.bank,62806,
First American Bank,,321255,10010,www.fabstonewall.com,74871,
FIRST NATIONAL BANK OF NOKOMIS,First National Bank of Nokomis,330248,10011,https://www.fnbnokomis.com,62075,
Northeast Georgia Bank,,888833,10018,www.northeastgabank.com,30553,
Mediapolis Savings Bank,,826648,10019,www.gomsb.bank,52637,
Grant County Bank,,361354,10025,https://www.grantcobank.com,73759,
The Farmers & Merchants Bank,,574949,10026,http://www.fmberlin.com,54923,
"The Stock Exchange Bank, Caldwell, Kansas",The Stock Exchange Bank of Caldwell,671053,10031,www.stockxbank.com,67022,
Peoples Bank of Moniteau County,Peoples Bank of Jamestown,915056,10038,www.pbomc.com,65046,
Broadway National Bank,Broadway National Bank of Alamo Heights,474254,10043,www.broadway.bank,78209,
Premier Community Bank,Marion State Bank,597546,10044,www.premiercommunity.com,54950,
Farmers and Merchants Bank,,205243,10046,www.fmbms.com,38824,
Iowa State Bank,,662949,10052,http://www.iowastatebanks.com,50309,
Security State Bank & Trust,Security State Bank and Trust,247355,10053,https://www.ssbtexas.com,78624,
Central Bank & Trust Co.,Central Bank & Trust Company,1007015,10059,www.centralbank.com,40507,
Genesis Bank,Bank of Benoit,659640,10061,,38725,
Red River State Bank,,1005655,10063,www.redriverbank.com,56548,
The Claxton Bank,,452739,10068,www.tcbga.bank,30414,
Security State Bank,Burt Savings Bank,750846,10080,bankssb.com,50511,
Sunrise Bank Dakota,The Onida Bank,354253,10087,http://www.mysunrisebank.com,57564,
The Farmers State Bank,,652959,10093,www.fsbfairview.com,66425,
The Peoples Bank,,593249,10108,WWW.PEOPLESRIPLEY.COM,38663,
Milledgeville State Bank,,895448,10110,WWW.MILLEDGEVILLEBANK.COM,61051,
DeMotte State Bank,,539340,10119,http://www.netdsb.com,46310,
First State Bank of Livingston,,884358,10130,www.fsblivingston.bank,77351,
Fusion Bank,The First State Bank & Trust Co. of Larned,9955,10131,www.fusion.bank,67550,
The Four County Bank,,7634,10136,THEFOURCOUNTYBANK.COM,31017,
Union State Bank,,865759,10140,www.usbcc.com,67432,
Ives Bank,Savings Bank of Danbury,626101,10144,www.ivesbank.com,06810,
First Community Bank and Trust,Farmers State Bank of Beecher,371232,10145,www.firstcbt.bank,60401,
Maxwell State Bank,,694146,10162,www.maxwellstate.com,50161,
The Citizens Bank,,898627,10164,www.tcbsc.bank,29114,
Peoples State Bank,,660066,10170,www.psbrocksprings.com,78880,
Forest Park National Bank and Trust Company,Forest Park National Bank,926632,10176,www.forestparkbank.com,60130,
Iowa State Bank,,865142,10178,http://www.iowastatebank.com,50619,
Guaranty Bank and Trust Company,,84541,10184,www.gbtonline.com,39038,
"Comerica Bank & Trust, National Association",Manufacturers Bank of Saline,772446,1040,www.comerica.com,48104,
Fulton Savings Bank,,900502,10197,www.fultonsavings.com,13069,
Rondout Savings Bank,,425108,10200,www.rondoutbank.com,12401,
Ulster Savings Bank,Ulster County Savings Bank,301800,10201,www.ulstersavings.com,12401,
Walden Savings Bank,,341310,10218,www.waldensavings.bank,12549,
Watertown Savings Bank,,298218,10221,www.watersavingsbank.com,13601,
Exchange Bank,Exchange Bank of Milledgeville,613839,126,www.exch.bank,31061,
First Farmers & Merchants State Bank,First American State Bank,276654,1044,www.ffmbank.com,55918,
Ridgewood Savings Bank,,859712,10255,www.ridgewoodbank.com,11385,
The North Country Savings Bank,,166111,10259,northcountrysavings.bank,13617,
Rhinebeck Bank,Rhinebeck Savings Bank,195111,10261,www.rhinebeckbank.com,12572,
Sawyer Savings Bank,,605610,10267,www.SawyerSavings.bank,12477,
Security Bank USA,Security State Bank of Bemidji,950758,1048,www.SecurityBankusa.com,56601,
Generations Bank,The Seneca Falls Savings Bank,442011,10268,www.mygenbank.com,13148,
Apple Bank,Apple Bank for Savings,249612,10290,www.applebank.com,10168,
The Bank of Elk River,,10250,1050,www.thebankofelkriver.com,55330,
Rayne State Bank & Trust Company,,900034,10297,www.bankonnet.bank,70578,
York State Bank,York State Bank and Trust Company,731050,10300,www.yorkstatebank.com,68467,
First State Bank of Wyoming,,222156,1052,www.fsbwyoming.com,55092,
The Exchange State Bank,,362043,10311,www.exchangestatebank.net,52336,
The State Bank of Faribault,Faribault State Bank & Trust Co.,46053,1053,www.tsbf.com,55021,
The Milford Bank,Milford Savings Bank,258306,10318,www.milfordbank.com,06460,
farmbank,Farmers Bank of Green City,3458,10320,www.farmbank.com,63545,
"Carroll County Trust Company of Carrollton, Missouri",,490843,1054,www.cctconline.com,64633,
Butte State Bank,,1004256,10327,http://www.buttebank.com,68722,
Highland Bank,Security State Bank of St. Michael,764058,10328,www.highland.bank,55116,
Farmers State Bank & Trust Co.,,567736,10330,www.farmers24.com,70525,
Nebraska Bank,Farmers State Bank,143859,10332,www.ne.bank,68633,
Sherwood Community Bank,Bank of Creighton,887854,1055,www.sherwoodbank.com,64739,
"The Riley State Bank of Riley, Kansas",,532752,10336,www.rileystatebank.com,66531,
The Eastern Colorado Bank,,775054,10340,www.yourfriendlybank.com,80810,
Citizens Bank of the Midwest,Fort Leonard Wood Bank,44750,10341,www.cbmw.bank,65401,
FNB Community Bank,The First National Bank of Midwest City,839255,10342,www.fnbmwc.com,73110,
First National Bank Alaska,The First National Bank of Anchorage,114260,10345,http://www.fnbalaska.com,99501,
State Bank,Everly State Bank,651149,10363,www.statebankspencer.com,51301,
The Peoples Bank,,611031,10364,www.peoples1943.com,31024,
Bank of Elgin,,485054,10366,www.bankofelgin.com,68636,
Exchange Bank of Missouri,Exchange National Bank of Howard County,686459,1058,www.ebmo.com,65248,
Waukesha State Bank,,290249,10370,WWW.WAUKESHABANK.COM,53188,
"Campbell County Bank, Inc.",Campbell County Bank,293651,10371,http://campbellcountybank.com,57632,
First State Bank of Purdy,,400057,10372,www.fsb-purdy.com,65734,
The Metamora State Bank,,533227,10375,www.metamorabank.com,43540,
The Bank of Missouri,Bank of Perryville,330855,1059,WWW.BANKOFMISSOURI.COM,63775,
West Alabama Bank & Trust,"Bank of Reform, Reform, Alabama",501132,10381,www.wabt.com,35481,
Johnson City Bank,Citizens State Bank,977652,10382,www.j-cbank.com,78636,
First State Bank,,190947,10383,www.stuartbank.com,50250,
"The Samson Banking Company, Inc.",,472531,10389,http://www.samsonbanking.com,36477,
Stockman Bank of Montana,First Security Bank & Trust of Miles City,651859,10394,www.stockmanbank.com,59301,
Mason City National Bank,,108746,10400,onlinebanking.masoncitynationalbank.com,62664,
Bank of Wolcott,,729842,10402,http://www.bankofwolcott.com,47995,
The Farmers & Merchants Bank,,677644,10415,www.gofm.bank,72160,
First Security Bank,American Bank of Union Star,322551,1062,WWW.FIRSTSECURITYBANKMO.COM,64494,
Reliabank Dakota,The Farmers State Bank of Estelline,108951,10420,www.reliabank.com,57234,
The Sherwood State Bank,,546320,10421,www.sherwood.bank,43556,
Wheeler County State Bank,,989534,10426,http://www.atlanticsouthbank.com,30411,
Dakota Heritage Bank,Security State Bank of Hunter,860352,10428,www.dhb.bank,58048,
Bank of Eastern Oregon,,14865,10438,www.beobank.com,97836,
Commercial Banking Company,,381932,10440,www.cbcbank.com,31602,
Neighbors Bank,Clarence State Bank,503640,10441,www.neighborsbank.com,63437,
Devon Bank,Devon Norton Town State Bank,347639,10443,www.DevonBank.com,60645,
Marquette Bank,Marquette National Bank,716833,10444,www.emarquettebank.com,60636,
Peoples Bank,Lester State Bank,998844,10457,www.peoples-ebank.com,51247,
The Citizens Bank of Cochran,Cook Banking Company,278733,10464,www.citizensbankcochran.com,31014,
"Constitution Bank, National Association",National Bank of Mount Olive,659341,10465,www.constitutionbank.com,62049,
Bank of Lumber City,,959630,10469,www.bankoflumbercity.com,31549,
Bank of Bearden,The Citizens Bank,311144,10470,www.bankofbearden.com,71720,
South Coast Bank & Trust,The Citizens Exchange Bank,706030,10471,www.southcoast.bank,31520,
Southern Bank,Bank of Burke County,307334,10476,www.thesouthern.bank,30456,
Manufacturers Bank & Trust Company,,215345,10494,www.mbtbank.bank,50436,
Marseilles Bank,Union National Bank of Marseilles,104542,10505,www.marseillesbank.com,61341,
Battle Creek State Bank,,986757,10514,http://www.battlecreekstatebank.com,68715,
First State Bank and Trust,First State Bank,899642,10516,www.fsbcorp.com,61856,
First State Bank,,172859,10517,www.fsbloomis.com,68958,
First State Bank of Odem,,776369,10518,www.fsbodem.com,78370,
The Tri-County Bank,,657954,10523,www.tricountybank.com,68780,
The State Bank of Pearl City,,923949,10528,www.pearlcitybank.com,61062,
Capra Bank,Peoples Savings Bank,1013744,10545,WWW.CAPRABANK.COM,52001,
The Citizens Bank,,374130,10551,www.tcbenterprise.com,36330,
The Hicksville Bank,,892223,10552,www.thb.bank,43526,
Brantley Bank and Trust Company,,411231,10565,www.brantleybank.com,36009,
Bank of Travelers Rest,,589523,10568,www.bankoftravelersrest.com,29690,
FCNB Bank,"Community Bank, Steelville, Mo.",619859,1075,www.fcnb.com,65565,
Table Grove State Bank,,411549,10572,www.tgsbank.com,61482,
Lafayette State Bank,Lafayette County State Bank,535931,10574,www.lafayettestate.bank,32066,
The Bennington State Bank,,1016259,10579,www.bsbks.com,67401,
Andover State Bank,,225054,10586,www.goasb.com,67002,
Bank of Stronghurst,,593940,10588,www.bankofstronghurst.com,61480,
"FSNB, National Association",The Fort Sill National Bank,125154,10591,www.fsnb.com,73501,
Citizens Bank & Trust Company,,384830,10592,www.cbtbanking.com,70433,
BankSouth,Citizens Union Bank,88231,10593,www.banksouth.com,30642,
Centera Bank,The Haskell County State Bank,51459,10606,www.centerabank.com,67877,
Farmers and Merchants Bank,,4231,10610,www.fmbanksylvania.com,30467,
Security State Bank,,270652,10615,https://www.bankwithsecurity.com,57311,
Busey Bank,Champaign County Bank and Trust Co.,416245,10617,www.busey.com,61820,
Whitesville State Bank,,732637,10619,www.whitesvillesb.com,25209,
Merchants & Planters' Bank,,99143,10628,http://www.mandp.bank,72112,
Jefferson Bank,Jefferson State Bank,45560,10634,www.jeffersonbank.com,78215,
First Bank,The Farmers State Bank in Sterling,49652,10637,www.first-bank..net,67579,
State Bank of Lakota,,678258,10640,www.statebankoflakota.com,58344,
"First Bankers Trust Company, National Association","First Midwest Bank/Quincy, National Association",344647,10661,www.firstbankers.com,62301,
Nebraska State Bank,,514057,10671,,68746,
Metairie Bank & Trust Company,Metairie Savings Bank & Trust Company,55336,10691,http://www.METAIRIEBANK.COM,70001,
Ozark Bank,Ozark Savings Bank,882952,1089,http://www.ozarkbank.com,65721,
JD Bank,Jeff Davis Bank & Trust Company,980531,10698,www.jdbank.com,70546,
Bank Plus,Swea City State Bank,329149,10699,www.bankplusiowa.com,51334,
The Bank of Old Monroe,,880855,1090,www.bankofoldmonroe.com,63369,
Elkhorn Valley Bank & Trust,Commercial State Bank,439356,10704,www.evb.bank,68701,
State Bank of Easton,,379050,10710,,56025,
BMO Bank National Association,"Harris Bank Glencoe-Northbrook, National Association",75633,10718,www.bmo.com,60606,
Citizens State Bank,,489155,10726,csbanton.com,79313,
State Bank of Burrton,,21256,10728,www.statebankofburrtononline.com,67020,
Carver State Bank,The Carver Savings Bank,370833,10729,www.carverstatebank.com,31401,
Vermont State Bank,,187648,10730,https://www.vermontstatebank.com,61484,
