NAME,PRIORNAME1,FED_RSS_ID,UNINUM,WEBADDR,ZIP,CHARTER_NUMBER
"Frederick Community Bank, The",Cissna Park State Bank,687830,6679,www.tfcbanks.com,60957,
Farmers State Bank & Trust Co.,The Farmers State Bank of Mt. Sterling,510947,6688,www.fsb-tc.com,62353,
Town & Country Bank Midwest,South Side Bank of Quincy,349343,6690,www.tcbankmidwest.com,62301,
Middletown State Bank,,770545,6692,http://middletownstatebank.com,62666,
Federated Bank,Federated Bank of Onarga,640143,6693,www.federatedbank.com,60955,
The Gifford State Bank,The Morse State Bank of Gifford,557438,6695,www.giffordbank.com,61847,
Farmers & Merchants Bank of Hutsonville,,724940,6697,,62433,
Bank & Trust Company,Litchfield Bank and Trust Company,496845,700,www.banktr.com,62056,
Camp Grove State Bank,,302133,6698,www.campgrovestatebank.com,61424,
Ipava State Bank,,760434,6700,www.ipavastatebank.com,61542,
Citizens State Bank,Citizens State Bank of Lena,356239,6701,http://www.csbnow.com,61048,
First National Bank of Steeleville,State Bank of Steeleville,129349,701,www.bankatfnb.com,62288,
Farmers and Merchants Savings Bank,Farmers & Merchants Savings Bank,673244,6713,www.fmbankonline.com,52246,
Mount Vernon Bank and Trust Company,,890649,6714,www.mountvernonbank.com,52314,
Iowa State Bank,Sac City State Bank,298049,6717,https://www.myisb.bank,50583,
Bank of Cave City,,629148,85,www.bankofcavecity.com,72521,
Farmers Savings Bank,,380346,6720,www.fsbwever.com,52658,
The First State Bank,,275657,6723,http://www.fsbnesscity.com,67560,
The Kansas State Bank,,287959,6724,http://www.MyKansasStateBank.com,66067,
The Citizens Bank,,962313,6735,www.tcbanytime.com,40351,
Bank of Commerce & Trust Co.,,476539,6738,https://www.bankofcommerceandtrust.com,70526,
"Exchange Bank and Trust Company, Natchitoches, Louisiana",Exchange Bank of Natchitoches,985451,6743,www.exchange-bank.com,71457,
Citizens Progressive Bank,,732253,6744,cpbonline.com,71295,
CLB The Community Bank,Catahoula Bank,930853,6745,www.clbbank.com,71343,
Winnsboro State Bank & Trust Company,,628552,6746,WWW.WINNSBOROBANK.COM,71295,
Arcadian Bank,Farmers State Bank of Hartland,1007752,6762,www.arcadian.bank,56042,
United Minnesota Bank,First State Bank of New London,842853,6768,www.umbnl.com,56273,
Farmers and Merchants State Bank of Alpha,Farmers & Merchants State Bank,388753,6772,famstatebankofalpha.com,56111,
First Southeast Bank,Harmony State Bank,22552,6777,http://www.firstsoutheastbank.com,55939,
Midwest BankCentre,Lemay Bank & Trust Company,657459,708,www.midwestbankcentre.com,63125,
Bank of Franklin,,68831,6790,www.bankoffranklin.com,39653,
Community First Bank,"Citizens Bank of Appleton City, Missouri",756848,6791,www.communityfirstbank.net,64730,
TBO Bank,The Bank of Orrick,1003950,6792,www.tbobank.com,64077,
Wood & Huston Bank,,671558,710,www.woodhuston.com,65340,
UNICO Bank,Irondale Bank,975153,6798,www.unicobank.com,63660,
BTC Bank,The Bethany Trust Company,1009242,6805,btcbank.bank,64424,
Hawthorn Bank,Union State Bank of Clinton,508346,6806,WWW.HAWTHORNBANK.COM,65101,
State Bank of Missouri,Alma Bank of Concordia,565844,6809,http://www.gostatebank.com,64020,
Bank of New Cambria,,879550,6811,www.banknewcambria.com,63558,
Preferred Bank,Bank of Rothville,252452,6812,mypfbank.com,64676,
Pinnacle Bank,Banking House of A. W. Clarke,913856,6817,www.pinnbank.com,68508,
The Bank of Steinauer,,384353,6818,www.bankofsteinauer.com,68441,
First Central Bank,The Cambridge State Bank,134156,6820,http://www.firstcentral.com,69022,
Flatwater Bank,The Gotenburg State Bank and Trust Company,493152,6821,www.flatwater.bank,69138,
Riverstone Bank,The Bank of Talmage,388557,6823,WWW.BANKRIVSERSTONE.COM,68347,
Dundee Bank,Security State Bank,397559,6825,www.dundeebank.com,68132,
American Exchange Bank,,1014451,6829,www.aebank.com,68349,
The Andover Bank,,27614,6839,www.andover.bank,44003,
Mabrey Bank,Citizens Security Bank & Trust Company,139553,6842,www.mabreybank.com,74008,
The Exchange Bank,,316859,6846,www.exb-ok.com,74070,
Bank of Hydro,,291059,6848,http://www.bankofhydro.com,73048,
"Jonestown Bank and Trust Company, of Jonestown, Pennsylvania",,653611,6851,www.jbt.bank,17038,
Cass Commercial Bank,Cass Bank & Trust Company,177751,717,www.cassbank.com,63131,
Central Penn Bank & Trust,Mifflinburg Bank and Trust Company,779016,6856,www.mbtc.com,17844,
The Merchants & Planters Bank,,691042,86,,72029,
Avana Bank,First State Bank,498456,6867,www.avana.bank,79602,
Crossroads Bank,First State Bank,564463,6869,www.crbanktx.com,77995,
Peoples State Bank of Hallettsville,,530851,6877,www.psbhallettsville.com,77964,
Lindell Bank & Trust Company,Lindell Trust Company,185859,722,www.lindellbank.com,63139,
Independence State Bank,State Bank of Independence,396057,6892,www.independencestatebank.com,54747,
Illini State Bank,Tonica State Bank,180845,6898,http://www.illinistatebank.com,61348,
Community Bank,State Bank Winslow-Warren,430344,6900,www.cbcommunitybank.com,61089,
First State Bank of Campbell Hill,,698546,6906,www.fsbch.com,62916,
Dewey Bank,Dewey State Bank,846132,6909,www.deweybank.com,61840,
Du Quoin State Bank,,823142,6910,www.duquoinstatebank.com,62832,
First State Bank of Van Orin,,472148,6913,http://vanorinbank.com,61374,
Grand Rivers Community Bank,The First State Bank of Grand Chain,226949,6919,www.grandriverscommunitybank.com,62941,
State Bank of Industry,,944935,6923,www.statebankofindustry.com,61440,
Clay County State Bank,,498942,6924,www.claycobank.com,62858,
"Petefish, Skiles & Co.",,602543,6928,https://www.petefishskiles.com,62691,
"The First Trust and Savings Bank of Watseka, Illinois",,193649,6929,www.ftsbank.com,60970,
Campus State Bank,,424437,6933,www.campustatebank.com,60920,
Citizens Bank of Chatsworth,,441135,6936,www.bankatcbc.com,60921,
Buena Vista National Bank,Buena Vista National Bank of Chester,621441,6937,www.bvnb.com,62233,
The Clay City Banking Co.,,623548,6938,www.claycitybanking.bank,62824,
Tompkins State Bank,,609832,6939,www.tompkinsstatebank.com,61415,
West Central Bank,State Bank of Ashland,920733,6943,www.westcentralbank.com,62612,
State Bank of Bement,,439730,6944,www.bankbement.com,61813,
Anderson State Bank,,916343,6947,www.andersonstatebank.com,61467,
The Bank of Versailles,,625850,731,bankov.com,65084,
Murphy-Wall State Bank and Trust Company,,478140,6948,www.murphywall.com,62274,
First State Bank of Beecher City,,601041,6955,www.fsbbc.com,62414,
Chesterfield State Bank,,767246,6956,,62630,
Waterman Bank,Waterman State Bank,604640,6960,www.watermanbank.com,60556,
Eagle Valley Bank,Bank of Bluffs,695947,6965,www.eaglevalley.bank,62340,
Legence Bank,First State Bank of Eldorado,635840,6967,www.legencebank.com,62930,
Horatio State Bank,Bank of Gillham,458142,88,www.horatiostatebank.com,71842,
Upper Peninsula State Bank,State Bank of Escanaba,236957,735,http://www.upstatebank.net,49829,
Central State Bank,,607146,6982,www.centralstatebankia.com,50247,
The Baldwin State Bank,,997155,6984,https://www.baldwinstatebank.com,66006,
Guaranty State Bank and Trust Company,"The Guaranty State Bank, Beloit, Kansas",1009756,6985,www.guarantystate.com,67420,
Grant County Bank,The Grant County State Bank,207452,6991,www.gcbks.bank,67880,
The State Bank of Bern,,1013650,6992,Statebankofbern.com,66408,
Baybank,BayBank,242958,737,http://baybank.us,49837,
The Fidelity State Bank and Trust Company,Fidelity State Bank,638850,6993,www.fidelitybankdc.com,67801,
The Miners State Bank,The Miners' State Bank of Iron River,255350,6999,www.theminersstatebank.com,49935,
Central Savings Bank,,382050,740,www.centralsavingsbank.com,49783,
Northview Bank,First State Bank of Finlayson,16551,7013,http://www.northviewbank.com,55072,
United Prairie Bank,Farmers State Bank of Mountain Lake,712059,7015,www.unitedprairiebank.com,56159,
Janesville State Bank,,88259,7016,http://www.janesvillestatebank.com,56048,
Grand Rapids State Bank,,1003558,7018,http://www.grsb.bank,55744,
Lake Region Bank,Farmers' State Bank of New London,164153,7020,www.lakeregion.com,56273,
"F & M Community Bank, National Association",F & M Bank of Preston,171759,7022,www.fmcommunity.com,55965,
Randall State Bank,,172251,7023,www.randallstatebank.com,56475,
Prime Security Bank,The State Bank of Strandquist,909756,7025,www.primesecurity.com,56732,
Alliance Bank,Lake City Bank and Trust Company,166652,7027,www.alliancebanks.com,55041,
Center National Bank,First State Bank of Litchfield,1017957,7030,www.centernationalbank.com,55355,
Root River State Bank,First State Bank of Chatfield,309851,743,www.rootriverstatebank.com,55923,
ESB Bank,Eitzen State Bank,40855,7033,https://www.esbbanking.com,55921,
Security State Bank of Oklee,,814355,7035,www.ssboklee.com,56742,
Security Bank Minnesota,Security State Bank of Albert Lea,295057,7036,http://www.securitybankmn.com,56007,
Stearns Bank National Association,Stearns County National Bank of Albany,141556,7040,www.stearnsbank.com,56301,
Lake Central Bank,Annandale State Bank,269058,7041,www.lakecentralbank.com,55302,
First State Bank of Bigfork,First State Bank of Big Fork,364850,7042,www.fsbbigfork.com,56628,
Bonanza Valley State Bank,State Bank of Brooten,107758,7044,www.bvsb.bank,56316,
FM Bank,Granite Falls Bank,20857,7048,mybankfm.com,56093,
Bank OZK,"Bank of the Ozarks, nwa",107244,89,http://www.ozk.com,72223,
Peoples State Bank of Plainview,,786555,745,www.peoplesstatebank.com,55964,
St. Clair County State Bank,Johnson Lucas Banking Company,692450,7052,https://www.sccsbank.com,64776,
Grand Missouri Bank,"Farmers State Bank, S/B",365950,7053,www.grandmissouri.bank,65613,
The First State Bank of Shelby,,686758,7060,www.fsbshelby.com,59474,
Peapack Private Bank & Trust,Peapack-Gladstone Bank,236706,7072,www.peapackprivate.com,07921,
First Interstate Bank,"First Interstate Bank of Billings, National Association",659855,748,www.firstinterstatebank.com,59101,
First-Citizens Bank & Trust Company,,491224,10,11063,7078,
Somerset Trust Company,,212522,7096,somersettrust.com,15501,
Hamlin Bank and Trust Company,,291611,7097,www.hamlinbank.com,16749,
S&T Bank,The Savings & Trust Company of Indiana,936426,7103,http://www.stbank.com,15701,
Farmers State Bank of Canton,,91950,7105,www.cantonfarmersstatebank.com,57013,
Texas Champion Bank,The Bank of Alice,579364,7121,http://www.texaschampionbank.com,78413,
American Bank & Trust,American State Bank,275358,760,www.abt.bank,57108,
The First State Bank,,305059,7134,www.fsbabernathy.net,79311,
"Transpecos Banks, SSB","The Security State Bank of Pecos, Texas",908861,7136,www.transpecos.bank,79772,
"Citizens State Bank, of Arlington",,274856,761,www.csbarlington.com,57212,
First State Bank of Brownsboro,,229454,7138,www.fsbbrownsboro.com,75756,
First Fidelity Bank,Burke State Bank,80150,764,www.ffb-sd.com,57523,
First Community Bank,The Farmers Bank,742542,7161,www.fcbmilton.com,53563,
First Citizens State Bank,"The First Citizens State Bank of Whitewater, Wisconsin",831642,7164,www.firstcitizensww.com,53190,
Bank of Milton,,426945,7166,www.bankofmilton.com,53563,
Bonduel State Bank,,35646,7168,www.bonduelbank.com,54107,
Horicon Bank,Horicon State Bank,528849,7169,www.horiconbank.com,53032,
Centennial Bank,First State Bank,456045,7173,http://www.my100bank.com,72032,
Producers Bank & Trust,McGehee Bank,897648,7174,www.mcgeheebank.com,71654,
Bank of Salem,,931047,7175,www.bksalem.net,72576,
Merchants State Bank,,289757,767,www.msb-sd.com,57029,
The First National Bank of Izard County,State Bank of Calico Rock,379649,7180,www.fnbizardcounty.com,72519,
The Gunnison Bank and Trust Company,,502559,7186,www.gunnisonbank.com,81230,
McClave State Bank,McClave State Bank of McClave,399357,7188,http://www.mcclavebank.com,81057,
The Citizens Bank of Swainsboro,,268136,7209,www.cbs-lc.com,30401,
"Farmers State Bank of Alto Pass, Ill.",,856346,7213,http://www.myfsb.com,62905,
